[19:13:55] 日志目录：F:\k230gc\pidtest\host\logs\20260707_191355
[19:15:08] TUNE,X,RECENTERED,ERROR,-1
[19:15:08] TUNE,X,PID_TEST,KP,0.160,KI,0.200,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:15:15] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.200,KD,0.010,SCORE,286.503
[19:15:15] TUNE,X,RECENTER
[19:15:15] TUNE,X,RECENTERED,ERROR,2
[19:15:15] TUNE,X,PID_TEST,KP,0.160,KI,0.320,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:15:23] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.320,KD,0.003,SCORE,218.615
[19:15:23] TUNE,X,RECENTER
[19:15:23] TUNE,X,RECENTERED,ERROR,3
[19:15:23] TUNE,X,PID_TEST,KP,0.160,KI,0.320,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:15:30] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.320,KD,0.010,SCORE,263.031
[19:15:30] TUNE,X,RECENTER
[19:15:30] TUNE,X,RECENTERED,ERROR,2
[19:15:30] TUNE,X,PID_TEST,KP,0.220,KI,0.080,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:15:38] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.080,KD,0.003,SCORE,366.167
[19:15:38] TUNE,X,RECENTER
[19:15:38] TUNE,X,RECENTERED,ERROR,2
[19:15:38] TUNE,X,PID_TEST,KP,0.220,KI,0.080,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:15:46] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.080,KD,0.010,SCORE,337.252
[19:15:46] TUNE,X,RECENTER
[19:15:46] TUNE,X,RECENTERED,ERROR,2
[19:15:46] TUNE,X,PID_TEST,KP,0.220,KI,0.200,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:15:53] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.200,KD,0.003,SCORE,327.021
[19:15:53] TUNE,X,RECENTER
[19:15:53] TUNE,X,RECENTERED,ERROR,0
[19:15:53] TUNE,X,PID_TEST,KP,0.220,KI,0.200,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:16:01] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.200,KD,0.010,SCORE,348.334
[19:16:01] TUNE,X,RECENTER
[19:16:01] TUNE,X,RECENTERED,ERROR,2
[19:16:01] TUNE,X,PID_TEST,KP,0.220,KI,0.320,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:16:08] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.320,KD,0.003,SCORE,293.488
[19:16:08] TUNE,X,RECENTER
[19:16:09] TUNE,X,RECENTERED,ERROR,4
[19:16:09] TUNE,X,PID_TEST,KP,0.220,KI,0.320,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:16:16] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.320,KD,0.010,SCORE,336.488
[19:16:16] TUNE,X,RECENTER
[19:16:16] TUNE,X,RECENTERED,ERROR,2
[19:16:16] TUNE,X,PID_TEST,KP,0.280,KI,0.080,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:16:24] TUNE,X,RESULT,MODE,PID,KP,0.280,KI,0.080,KD,0.003,SCORE,418.916
[19:16:24] TUNE,X,RECENTER
[19:16:24] TUNE,X,RECENTERED,ERROR,-2
[19:16:24] TUNE,X,PID_TEST,KP,0.280,KI,0.080,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:16:31] TUNE,X,RESULT,MODE,PID,KP,0.280,KI,0.080,KD,0.010,SCORE,418.742
[19:16:31] TUNE,X,RECENTER
[19:16:32] TUNE,X,RECENTERED,ERROR,2
[19:16:32] TUNE,X,PID_TEST,KP,0.280,KI,0.200,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:16:39] TUNE,X,RESULT,MODE,PID,KP,0.280,KI,0.200,KD,0.003,SCORE,370.202
[19:16:39] TUNE,X,RECENTER
[19:16:39] TUNE,X,RECENTERED,ERROR,-2
[19:16:39] TUNE,X,PID_TEST,KP,0.280,KI,0.200,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:16:47] TUNE,X,RESULT,MODE,PID,KP,0.280,KI,0.200,KD,0.010,SCORE,395.733
[19:16:47] TUNE,X,RECENTER
[19:16:47] TUNE,X,RECENTERED,ERROR,1
[19:16:47] TUNE,X,PID_TEST,KP,0.280,KI,0.320,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:16:55] TUNE,X,RESULT,MODE,PID,KP,0.280,KI,0.320,KD,0.003,SCORE,388.077
[19:16:55] TUNE,X,RECENTER
[19:16:55] TUNE,X,RECENTERED,ERROR,-2
[19:16:55] TUNE,X,PID_TEST,KP,0.280,KI,0.320,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:17:02] TUNE,X,RESULT,MODE,PID,KP,0.280,KI,0.320,KD,0.010,SCORE,396.755
[19:17:02] TUNE,X,RECENTER
[19:17:02] TUNE,X,RECENTERED,ERROR,3
[19:17:02] TUNE,X,PID_TEST,KP,0.340,KI,0.080,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:17:10] TUNE,X,RESULT,MODE,PID,KP,0.340,KI,0.080,KD,0.003,SCORE,446.301
[19:17:10] TUNE,X,RECENTER
[19:17:10] TUNE,X,RECENTERED,ERROR,3
[19:17:10] TUNE,X,PID_TEST,KP,0.340,KI,0.080,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:17:17] TUNE,X,RESULT,MODE,PID,KP,0.340,KI,0.080,KD,0.010,SCORE,440.729
[19:17:18] TUNE,X,RECENTER
[19:17:18] TUNE,X,RECENTERED,ERROR,-2
[19:17:18] TUNE,X,PID_TEST,KP,0.340,KI,0.200,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:17:25] TUNE,X,RESULT,MODE,PID,KP,0.340,KI,0.200,KD,0.003,SCORE,434.839
[19:17:25] TUNE,X,RECENTER
[19:17:25] TUNE,X,RECENTERED,ERROR,1
[19:17:25] TUNE,X,PID_TEST,KP,0.340,KI,0.200,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:17:33] TUNE,X,RESULT,MODE,PID,KP,0.340,KI,0.200,KD,0.010,SCORE,539.864
[19:17:33] TUNE,X,RECENTER
[19:17:33] TUNE,X,RECENTERED,ERROR,1
[19:17:33] TUNE,X,PID_TEST,KP,0.340,KI,0.320,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:17:41] TUNE,X,RESULT,MODE,PID,KP,0.340,KI,0.320,KD,0.003,SCORE,441.557
[19:17:41] TUNE,X,RECENTER
[19:17:41] TUNE,X,RECENTERED,ERROR,1
[19:17:41] TUNE,X,PID_TEST,KP,0.340,KI,0.320,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:17:48] TUNE,X,RESULT,MODE,PID,KP,0.340,KI,0.320,KD,0.010,SCORE,433.196
[19:17:48] TUNE,X,CHAMPIONSHIP_QUARTERFINAL,COUNT,8
[19:17:48] TUNE,X,RECENTER
[19:17:49] TUNE,X,RECENTERED,ERROR,0
[19:17:49] TUNE,X,PID_TEST,KP,0.160,KI,0.320,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:17:56] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.320,KD,0.003,SCORE,259.150
[19:17:56] TUNE,X,RECENTER
[19:17:56] TUNE,X,RECENTERED,ERROR,2
[19:17:56] TUNE,X,PID_TEST,KP,0.100,KI,0.320,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:18:04] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.320,KD,0.010,SCORE,264.792
[19:18:04] TUNE,X,RECENTER
[19:18:04] TUNE,X,RECENTERED,ERROR,1
[19:18:04] TUNE,X,PID_TEST,KP,0.100,KI,0.320,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:18:11] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.320,KD,0.003,SCORE,255.897
[19:18:11] TUNE,X,RECENTER
[19:18:11] TUNE,X,RECENTERED,ERROR,2
[19:18:11] TUNE,X,PID_TEST,KP,0.160,KI,0.200,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:18:19] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.200,KD,0.003,SCORE,292.390
[19:18:19] TUNE,X,RECENTER
[19:18:19] TUNE,X,RECENTERED,ERROR,0
[19:18:19] TUNE,X,PID_TEST,KP,0.160,KI,0.320,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:18:26] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.320,KD,0.010,SCORE,271.917
[19:18:26] TUNE,X,RECENTER
[19:18:27] TUNE,X,RECENTERED,ERROR,2
[19:18:27] TUNE,X,PID_TEST,KP,0.100,KI,0.200,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:18:34] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.200,KD,0.003,SCORE,340.069
[19:18:34] TUNE,X,RECENTER
[19:18:34] TUNE,X,RECENTERED,ERROR,-2
[19:18:34] TUNE,X,PID_TEST,KP,0.160,KI,0.200,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:18:42] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.200,KD,0.010,SCORE,443.227
[19:18:42] TUNE,X,RECENTER
[19:18:42] TUNE,X,RECENTERED,ERROR,-2
[19:18:42] TUNE,X,PID_TEST,KP,0.220,KI,0.320,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:18:49] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.320,KD,0.003,SCORE,270.595
[19:18:49] TUNE,X,CHAMPIONSHIP_LOCAL,COUNT,18
[19:18:49] TUNE,X,RECENTER
[19:18:49] TUNE,X,RECENTERED,ERROR,-3
[19:18:49] TUNE,X,PID_TEST,KP,0.120,KI,0.320,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:18:57] TUNE,X,RESULT,MODE,PID,KP,0.120,KI,0.320,KD,0.003,SCORE,260.598
[19:18:57] TUNE,X,RECENTER
[19:18:57] TUNE,X,RECENTERED,ERROR,3
[19:18:57] TUNE,X,PID_TEST,KP,0.200,KI,0.320,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:19:04] TUNE,X,RESULT,MODE,PID,KP,0.200,KI,0.320,KD,0.003,SCORE,281.284
[19:19:04] TUNE,X,RECENTER
[19:19:05] TUNE,X,RECENTERED,ERROR,2
[19:19:05] TUNE,X,PID_TEST,KP,0.160,KI,0.240,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:19:12] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.240,KD,0.003,SCORE,276.505
[19:19:12] TUNE,X,RECENTER
[19:19:12] TUNE,X,RECENTERED,ERROR,4
[19:19:12] TUNE,X,PID_TEST,KP,0.160,KI,0.400,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:19:20] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.400,KD,0.003,SCORE,254.644
[19:19:20] TUNE,X,RECENTER
[19:19:20] TUNE,X,RECENTERED,ERROR,4
[19:19:20] TUNE,X,PID_TEST,KP,0.160,KI,0.320,KD,0.000,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:19:27] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.320,KD,0.000,SCORE,231.326
[19:19:27] TUNE,X,RECENTER
[19:19:27] TUNE,X,RECENTERED,ERROR,1
[19:19:27] TUNE,X,PID_TEST,KP,0.160,KI,0.320,KD,0.007,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:19:35] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.320,KD,0.007,SCORE,266.087
[19:19:35] TUNE,X,RECENTER
[19:19:35] TUNE,X,RECENTERED,ERROR,-1
[19:19:35] TUNE,X,PID_TEST,KP,0.080,KI,0.320,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:19:42] TUNE,X,RESULT,MODE,PID,KP,0.080,KI,0.320,KD,0.003,SCORE,285.569
[19:19:42] TUNE,X,RECENTER
[19:19:43] TUNE,X,RECENTERED,ERROR,1
[19:19:43] TUNE,X,PID_TEST,KP,0.140,KI,0.320,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:19:50] TUNE,X,RESULT,MODE,PID,KP,0.140,KI,0.320,KD,0.003,SCORE,220.445
[19:19:50] TUNE,X,RECENTER
[19:19:50] TUNE,X,RECENTERED,ERROR,1
[19:19:50] TUNE,X,PID_TEST,KP,0.100,KI,0.240,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:19:58] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.240,KD,0.003,SCORE,294.452
[19:19:58] TUNE,X,RECENTER
[19:19:58] TUNE,X,RECENTERED,ERROR,1
[19:19:58] TUNE,X,PID_TEST,KP,0.100,KI,0.400,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:20:05] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.400,KD,0.003,SCORE,268.146
[19:20:05] TUNE,X,RECENTER
[19:20:06] TUNE,X,RECENTERED,ERROR,1
[19:20:06] TUNE,X,PID_TEST,KP,0.100,KI,0.320,KD,0.000,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:20:13] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.320,KD,0.000,SCORE,278.537
[19:20:13] TUNE,X,RECENTER
[19:20:13] TUNE,X,RECENTERED,ERROR,1
[19:20:13] TUNE,X,PID_TEST,KP,0.100,KI,0.320,KD,0.007,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:20:21] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.320,KD,0.007,SCORE,258.783
[19:20:21] TUNE,X,RECENTER
[19:20:21] TUNE,X,RECENTERED,ERROR,-1
[19:20:21] TUNE,X,PID_TEST,KP,0.080,KI,0.320,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:20:28] TUNE,X,RESULT,MODE,PID,KP,0.080,KI,0.320,KD,0.010,SCORE,292.586
[19:20:28] TUNE,X,RECENTER
[19:20:28] TUNE,X,RECENTERED,ERROR,3
[19:20:28] TUNE,X,PID_TEST,KP,0.140,KI,0.320,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:20:36] TUNE,X,RESULT,MODE,PID,KP,0.140,KI,0.320,KD,0.010,SCORE,258.727
[19:20:36] TUNE,X,RECENTER
[19:20:36] TUNE,X,RECENTERED,ERROR,-1
[19:20:36] TUNE,X,PID_TEST,KP,0.100,KI,0.240,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:20:44] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.240,KD,0.010,SCORE,328.909
[19:20:44] TUNE,X,RECENTER
[19:20:44] TUNE,X,RECENTERED,ERROR,2
[19:20:44] TUNE,X,PID_TEST,KP,0.100,KI,0.400,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:20:51] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.400,KD,0.010,SCORE,250.828
[19:20:51] TUNE,X,RECENTER
[19:20:52] TUNE,X,RECENTERED,ERROR,1
[19:20:52] TUNE,X,PID_TEST,KP,0.100,KI,0.320,KD,0.006,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:20:59] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.320,KD,0.006,SCORE,265.960
[19:20:59] TUNE,X,RECENTER
[19:20:59] TUNE,X,RECENTERED,ERROR,2
[19:20:59] TUNE,X,PID_TEST,KP,0.100,KI,0.320,KD,0.014,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:21:07] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.320,KD,0.014,SCORE,255.316
[19:21:07] TUNE,X,CHAMPIONSHIP_SEMIFINAL,COUNT,6
[19:21:07] TUNE,X,RECENTER
[19:21:07] TUNE,X,RECENTERED,ERROR,-1
[19:21:07] TUNE,X,PID_TEST,KP,0.140,KI,0.320,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:21:14] TUNE,X,RESULT,MODE,PID,KP,0.140,KI,0.320,KD,0.003,SCORE,210.787
[19:21:14] TUNE,X,RECENTER
[19:21:14] TUNE,X,RECENTERED,ERROR,2
[19:21:14] TUNE,X,PID_TEST,KP,0.160,KI,0.320,KD,0.000,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:21:22] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.320,KD,0.000,SCORE,252.301
[19:21:22] TUNE,X,RECENTER
[19:21:22] TUNE,X,RECENTERED,ERROR,3
[19:21:22] TUNE,X,PID_TEST,KP,0.100,KI,0.400,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:21:29] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.400,KD,0.010,SCORE,235.736
[19:21:29] TUNE,X,RECENTER
[19:21:29] TUNE,X,RECENTERED,ERROR,2
[19:21:29] TUNE,X,PID_TEST,KP,0.160,KI,0.400,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:21:37] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.400,KD,0.003,SCORE,260.254
[19:21:37] TUNE,X,RECENTER
[19:21:37] TUNE,X,RECENTERED,ERROR,0
[19:21:37] TUNE,X,PID_TEST,KP,0.100,KI,0.320,KD,0.014,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:21:44] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.320,KD,0.014,SCORE,282.045
[19:21:44] TUNE,X,CHAMPIONSHIP_FINE,COUNT,11
[19:21:44] TUNE,X,RECENTER
[19:21:45] TUNE,X,RECENTERED,ERROR,-1
[19:21:45] TUNE,X,PID_TEST,KP,0.125,KI,0.320,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:21:52] TUNE,X,RESULT,MODE,PID,KP,0.125,KI,0.320,KD,0.003,SCORE,223.343
[19:21:52] TUNE,X,RECENTER
[19:21:52] TUNE,X,RECENTERED,ERROR,1
[19:21:52] TUNE,X,PID_TEST,KP,0.155,KI,0.320,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:22:00] TUNE,X,RESULT,MODE,PID,KP,0.155,KI,0.320,KD,0.003,SCORE,298.117
[19:22:00] TUNE,X,RECENTER
[19:22:00] TUNE,X,RECENTERED,ERROR,2
[19:22:00] TUNE,X,PID_TEST,KP,0.140,KI,0.285,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:22:07] TUNE,X,RESULT,MODE,PID,KP,0.140,KI,0.285,KD,0.003,SCORE,251.224
[19:22:07] TUNE,X,RECENTER
[19:22:07] TUNE,X,RECENTERED,ERROR,1
[19:22:07] TUNE,X,PID_TEST,KP,0.140,KI,0.355,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[19:22:15] TUNE,X,RESULT,MODE,PID,KP,0.140,KI,0.355,KD,0.003,SCORE,230.605
[19:22:15] TUNE,X,RECENTER
[19:22:15] TUNE,X,RECENTERED,ERROR,1
