[21:54:44] 日志目录：F:\k230gc\pidtest\host\logs\20260706_215444
[21:56:11] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.080,KD,0.003,SCORE,252.349
[21:56:11] TUNE,X,RECENTER
[21:56:12] TUNE,X,RECENTERED,ERROR,1
[21:56:12] TUNE,X,PID_TEST,KP,0.220,KI,0.080,KD,0.010,STEP,60.0,MAXRPM,12.0
[21:56:18] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.080,KD,0.010,SCORE,282.302
[21:56:18] TUNE,X,RECENTER
[21:56:18] TUNE,X,RECENTERED,ERROR,0
[21:56:18] TUNE,X,PID_TEST,KP,0.220,KI,0.220,KD,0.003,STEP,60.0,MAXRPM,12.0
[21:56:24] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.220,KD,0.003,SCORE,247.797
[21:56:24] TUNE,X,RECENTER
[21:56:25] TUNE,X,RECENTERED,ERROR,2
[21:56:25] TUNE,X,PID_TEST,KP,0.220,KI,0.220,KD,0.010,STEP,60.0,MAXRPM,12.0
[21:56:31] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.220,KD,0.010,SCORE,255.458
[21:56:31] TUNE,X,RECENTER
[21:56:31] TUNE,X,RECENTERED,ERROR,3
[21:56:31] TUNE,X,PID_TEST,KP,0.220,KI,0.420,KD,0.003,STEP,60.0,MAXRPM,12.0
[21:56:37] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.420,KD,0.003,SCORE,263.499
[21:56:37] TUNE,X,RECENTER
[21:56:37] TUNE,X,RECENTERED,ERROR,-4
[21:56:37] TUNE,X,PID_TEST,KP,0.220,KI,0.420,KD,0.010,STEP,60.0,MAXRPM,12.0
[21:56:44] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.420,KD,0.010,SCORE,324.031
[21:56:44] TUNE,X,RECENTER
[21:56:44] TUNE,X,RECENTERED,ERROR,-2
[21:56:44] TUNE,X,PID_TEST,KP,0.280,KI,0.080,KD,0.003,STEP,60.0,MAXRPM,12.0
[21:56:50] TUNE,X,RESULT,MODE,PID,KP,0.280,KI,0.080,KD,0.003,SCORE,314.089
[21:56:50] TUNE,X,RECENTER
[21:56:51] TUNE,X,RECENTERED,ERROR,-3
[21:56:51] TUNE,X,PID_TEST,KP,0.280,KI,0.080,KD,0.010,STEP,60.0,MAXRPM,12.0
[21:56:57] TUNE,X,RESULT,MODE,PID,KP,0.280,KI,0.080,KD,0.010,SCORE,340.809
[21:56:57] TUNE,X,RECENTER
[21:56:57] TUNE,X,RECENTERED,ERROR,2
[21:56:57] TUNE,X,PID_TEST,KP,0.280,KI,0.220,KD,0.003,STEP,60.0,MAXRPM,12.0
[21:57:03] TUNE,X,RESULT,MODE,PID,KP,0.280,KI,0.220,KD,0.003,SCORE,343.770
[21:57:03] TUNE,X,RECENTER
[21:57:04] TUNE,X,RECENTERED,ERROR,-3
[21:57:04] TUNE,X,PID_TEST,KP,0.280,KI,0.220,KD,0.010,STEP,60.0,MAXRPM,12.0
[21:57:10] TUNE,X,RESULT,MODE,PID,KP,0.280,KI,0.220,KD,0.010,SCORE,396.224
[21:57:10] TUNE,X,RECENTER
[21:57:10] TUNE,X,RECENTERED,ERROR,-1
[21:57:10] TUNE,X,PID_TEST,KP,0.280,KI,0.420,KD,0.003,STEP,60.0,MAXRPM,12.0
[21:57:17] TUNE,X,RESULT,MODE,PID,KP,0.280,KI,0.420,KD,0.003,SCORE,334.526
[21:57:17] TUNE,X,RECENTER
[21:57:17] TUNE,X,RECENTERED,ERROR,-1
[21:57:17] TUNE,X,PID_TEST,KP,0.280,KI,0.420,KD,0.010,STEP,60.0,MAXRPM,12.0
[21:57:23] TUNE,X,RESULT,MODE,PID,KP,0.280,KI,0.420,KD,0.010,SCORE,328.603
[21:57:23] TUNE,X,RECENTER
[21:57:23] TUNE,X,RECENTERED,ERROR,-3
[21:57:23] TUNE,X,PID_TEST,KP,0.340,KI,0.080,KD,0.003,STEP,60.0,MAXRPM,12.0
[21:57:30] TUNE,X,RESULT,MODE,PID,KP,0.340,KI,0.080,KD,0.003,SCORE,408.264
[21:57:30] TUNE,X,RECENTER
[21:57:30] TUNE,X,RECENTERED,ERROR,-3
[21:57:30] TUNE,X,PID_TEST,KP,0.340,KI,0.080,KD,0.010,STEP,60.0,MAXRPM,12.0
[21:57:44] ERR,INVALID_COMMAND
[21:57:44] ERR,UNKNOWN_COMMAND,PID_BRIDGE_SIDE,CAR
[21:57:44] ERR,UNKNOWN_COMMAND,ESP8266_MAC,E0:98:06:15:E4:3C
[21:57:44] ERR,UNKNOWN_COMMAND,BRIDGE_READY,CAR,PEER=F4:CF:A2:FE:6B:36,CHANNEL=1
[21:57:49] TUNE,X,RESULT,MODE,PID,KP,0.340,KI,0.220,KD,0.010,SCORE,556.027
[21:57:49] TUNE,X,RECENTER
[21:57:50] TUNE,X,RECENTERED,ERROR,-4
[21:57:50] TUNE,X,PID_TEST,KP,0.340,KI,0.420,KD,0.003,STEP,60.0,MAXRPM,12.0
[21:57:56] TUNE,X,RESULT,MODE,PID,KP,0.340,KI,0.420,KD,0.003,SCORE,469.990
[21:57:56] TUNE,X,RECENTER
[21:57:56] TUNE,X,RECENTERED,ERROR,2
[21:57:56] TUNE,X,PID_TEST,KP,0.340,KI,0.420,KD,0.010,STEP,60.0,MAXRPM,12.0
[21:58:02] TUNE,X,RESULT,MODE,PID,KP,0.340,KI,0.420,KD,0.010,SCORE,496.367
[21:58:02] TUNE,X,CHAMPIONSHIP_QUARTERFINAL,COUNT,8
[21:58:02] TUNE,X,RECENTER
[21:58:03] TUNE,X,RECENTERED,ERROR,2
[21:58:03] TUNE,X,PID_TEST,KP,0.160,KI,0.080,KD,0.003,STEP,60.0,MAXRPM,12.0
[21:58:09] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.080,KD,0.003,SCORE,180.744
[21:58:09] TUNE,X,RECENTER
[21:58:09] TUNE,X,RECENTERED,ERROR,2
[21:58:09] TUNE,X,PID_TEST,KP,0.160,KI,0.220,KD,0.010,STEP,60.0,MAXRPM,12.0
[21:58:15] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.220,KD,0.010,SCORE,204.247
[21:58:15] TUNE,X,RECENTER
[21:58:16] TUNE,X,RECENTERED,ERROR,3
[21:58:16] TUNE,X,PID_TEST,KP,0.100,KI,0.220,KD,0.003,STEP,60.0,MAXRPM,12.0
[21:58:22] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.220,KD,0.003,SCORE,179.123
[21:58:22] TUNE,X,RECENTER
[21:58:22] TUNE,X,RECENTERED,ERROR,2
[21:58:22] TUNE,X,PID_TEST,KP,0.160,KI,0.420,KD,0.010,STEP,60.0,MAXRPM,12.0
[21:58:28] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.420,KD,0.010,SCORE,241.123
[21:58:28] TUNE,X,RECENTER
[21:58:28] TUNE,X,RECENTERED,ERROR,3
[21:58:28] TUNE,X,PID_TEST,KP,0.100,KI,0.420,KD,0.003,STEP,60.0,MAXRPM,12.0
[21:58:37] ERR,INVALID_COMMAND
[21:58:37] ERR,UNKNOWN_COMMAND,PID_BRIDGE_SIDE,CAR
[21:58:37] ERR,UNKNOWN_COMMAND,ESP8266_MAC,E0:98:06:15:E4:3C
[21:58:37] ERR,UNKNOWN_COMMAND,BRIDGE_READY,CAR,PEER=F4:CF:A2:FE:6B:36,CHANNEL=1
[21:58:41] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.080,KD,0.010,SCORE,269.751
[21:58:41] TUNE,X,RECENTER
[21:58:41] TUNE,X,RECENTERED,ERROR,0
[21:58:41] TUNE,X,PID_TEST,KP,0.100,KI,0.420,KD,0.010,STEP,60.0,MAXRPM,12.0
[21:58:48] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.420,KD,0.010,SCORE,178.132
[21:58:48] TUNE,X,RECENTER
[21:58:48] TUNE,X,RECENTERED,ERROR,0
[21:58:48] TUNE,X,PID_TEST,KP,0.220,KI,0.220,KD,0.003,STEP,60.0,MAXRPM,12.0
[21:58:54] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.220,KD,0.003,SCORE,270.465
[21:58:54] TUNE,X,CHAMPIONSHIP_LOCAL,COUNT,17
[21:58:54] TUNE,X,RECENTER
[21:58:54] TUNE,X,RECENTERED,ERROR,-3
[21:58:54] TUNE,X,PID_TEST,KP,0.120,KI,0.080,KD,0.003,STEP,60.0,MAXRPM,12.0
[21:59:01] TUNE,X,RESULT,MODE,PID,KP,0.120,KI,0.080,KD,0.003,SCORE,209.510
[21:59:01] TUNE,X,RECENTER
[21:59:01] TUNE,X,RECENTERED,ERROR,0
[21:59:01] TUNE,X,PID_TEST,KP,0.200,KI,0.080,KD,0.003,STEP,60.0,MAXRPM,12.0
[21:59:07] TUNE,X,RESULT,MODE,PID,KP,0.200,KI,0.080,KD,0.003,SCORE,243.989
[21:59:07] TUNE,X,RECENTER
[21:59:07] TUNE,X,RECENTERED,ERROR,0
[21:59:07] TUNE,X,PID_TEST,KP,0.160,KI,0.160,KD,0.003,STEP,60.0,MAXRPM,12.0
[21:59:13] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.160,KD,0.003,SCORE,176.787
[21:59:14] TUNE,X,RECENTER
[21:59:14] TUNE,X,RECENTERED,ERROR,3
[21:59:14] TUNE,X,PID_TEST,KP,0.160,KI,0.080,KD,0.000,STEP,60.0,MAXRPM,12.0
[21:59:20] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.080,KD,0.000,SCORE,160.782
[21:59:20] TUNE,X,RECENTER
[21:59:20] TUNE,X,RECENTERED,ERROR,0
[21:59:20] TUNE,X,PID_TEST,KP,0.160,KI,0.080,KD,0.007,STEP,60.0,MAXRPM,12.0
[21:59:26] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.080,KD,0.007,SCORE,220.560
[21:59:26] TUNE,X,RECENTER
[21:59:26] TUNE,X,RECENTERED,ERROR,-2
[21:59:26] TUNE,X,PID_TEST,KP,0.080,KI,0.220,KD,0.003,STEP,60.0,MAXRPM,12.0
[21:59:33] TUNE,X,RESULT,MODE,PID,KP,0.080,KI,0.220,KD,0.003,SCORE,275.841
[21:59:33] TUNE,X,RECENTER
[21:59:33] TUNE,X,RECENTERED,ERROR,0
[21:59:33] TUNE,X,PID_TEST,KP,0.140,KI,0.220,KD,0.003,STEP,60.0,MAXRPM,12.0
[21:59:39] TUNE,X,RESULT,MODE,PID,KP,0.140,KI,0.220,KD,0.003,SCORE,162.828
[21:59:39] TUNE,X,RECENTER
[21:59:39] TUNE,X,RECENTERED,ERROR,4
[21:59:39] TUNE,X,PID_TEST,KP,0.100,KI,0.140,KD,0.003,STEP,60.0,MAXRPM,12.0
[21:59:45] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.140,KD,0.003,SCORE,193.661
[21:59:45] TUNE,X,RECENTER
[21:59:45] TUNE,X,RECENTERED,ERROR,1
[21:59:45] TUNE,X,PID_TEST,KP,0.100,KI,0.300,KD,0.003,STEP,60.0,MAXRPM,12.0
[21:59:52] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.300,KD,0.003,SCORE,151.781
[21:59:52] TUNE,X,RECENTER
[21:59:52] TUNE,X,RECENTERED,ERROR,3
[21:59:52] TUNE,X,PID_TEST,KP,0.100,KI,0.220,KD,0.000,STEP,60.0,MAXRPM,12.0
[22:00:01] ERR,INVALID_COMMAND
[22:00:01] ERR,UNKNOWN_COMMAND,PID_BRIDGE_SIDE,CAR
[22:00:01] ERR,UNKNOWN_COMMAND,ESP8266_MAC,E0:98:06:15:E4:3C
[22:00:01] ERR,UNKNOWN_COMMAND,BRIDGE_READY,CAR,PEER=F4:CF:A2:FE:6B:36,CHANNEL=1
[22:00:04] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.220,KD,0.007,SCORE,167.430
[22:00:04] TUNE,X,RECENTER
[22:00:05] TUNE,X,RECENTERED,ERROR,-2
[22:00:05] TUNE,X,PID_TEST,KP,0.080,KI,0.420,KD,0.003,STEP,60.0,MAXRPM,12.0
[22:00:11] TUNE,X,RESULT,MODE,PID,KP,0.080,KI,0.420,KD,0.003,SCORE,245.245
[22:00:11] TUNE,X,RECENTER
[22:00:11] TUNE,X,RECENTERED,ERROR,3
[22:00:11] TUNE,X,PID_TEST,KP,0.140,KI,0.420,KD,0.003,STEP,60.0,MAXRPM,12.0
[22:00:17] TUNE,X,RESULT,MODE,PID,KP,0.140,KI,0.420,KD,0.003,SCORE,153.244
[22:00:17] TUNE,X,RECENTER
[22:00:18] TUNE,X,RECENTERED,ERROR,-1
[22:00:18] TUNE,X,PID_TEST,KP,0.100,KI,0.340,KD,0.003,STEP,60.0,MAXRPM,12.0
[22:00:24] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.340,KD,0.003,SCORE,182.803
[22:00:24] TUNE,X,RECENTER
[22:00:24] TUNE,X,RECENTERED,ERROR,-1
[22:00:24] TUNE,X,PID_TEST,KP,0.100,KI,0.500,KD,0.003,STEP,60.0,MAXRPM,12.0
[22:00:30] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.500,KD,0.003,SCORE,198.189
[22:00:30] TUNE,X,RECENTER
[22:00:31] TUNE,X,RECENTERED,ERROR,0
[22:00:31] TUNE,X,PID_TEST,KP,0.100,KI,0.420,KD,0.000,STEP,60.0,MAXRPM,12.0
[22:00:37] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.420,KD,0.000,SCORE,224.324
[22:00:37] TUNE,X,RECENTER
[22:00:37] TUNE,X,RECENTERED,ERROR,-2
[22:00:37] TUNE,X,PID_TEST,KP,0.100,KI,0.420,KD,0.007,STEP,60.0,MAXRPM,12.0
[22:00:43] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.420,KD,0.007,SCORE,202.258
[22:00:43] TUNE,X,CHAMPIONSHIP_SEMIFINAL,COUNT,6
[22:00:43] TUNE,X,RECENTER
[22:00:43] TUNE,X,RECENTERED,ERROR,0
[22:00:43] TUNE,X,PID_TEST,KP,0.100,KI,0.300,KD,0.003,STEP,60.0,MAXRPM,12.0
[22:00:50] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.300,KD,0.003,SCORE,202.234
[22:00:50] TUNE,X,RECENTER
[22:00:50] TUNE,X,RECENTERED,ERROR,0
[22:00:50] TUNE,X,PID_TEST,KP,0.140,KI,0.420,KD,0.003,STEP,60.0,MAXRPM,12.0
[22:00:56] TUNE,X,RESULT,MODE,PID,KP,0.140,KI,0.420,KD,0.003,SCORE,241.164
[22:00:56] TUNE,X,RECENTER
[22:00:56] TUNE,X,RECENTERED,ERROR,3
[22:00:56] TUNE,X,PID_TEST,KP,0.160,KI,0.080,KD,0.000,STEP,60.0,MAXRPM,12.0
[22:01:02] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.080,KD,0.000,SCORE,172.630
[22:01:03] TUNE,X,RECENTER
[22:01:03] TUNE,X,RECENTERED,ERROR,-1
[22:01:03] TUNE,X,PID_TEST,KP,0.100,KI,0.220,KD,0.000,STEP,60.0,MAXRPM,12.0
[22:01:09] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.220,KD,0.000,SCORE,166.789
[22:01:09] TUNE,X,RECENTER
[22:01:09] TUNE,X,RECENTERED,ERROR,2
[22:01:09] TUNE,X,PID_TEST,KP,0.140,KI,0.220,KD,0.003,STEP,60.0,MAXRPM,12.0
[22:01:15] TUNE,X,RESULT,MODE,PID,KP,0.140,KI,0.220,KD,0.003,SCORE,179.429
[22:01:15] TUNE,X,RECENTER
[22:01:15] TUNE,X,RECENTERED,ERROR,4
[22:01:15] TUNE,X,PID_TEST,KP,0.100,KI,0.220,KD,0.007,STEP,60.0,MAXRPM,12.0
[22:01:22] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.220,KD,0.007,SCORE,163.885
[22:01:22] TUNE,X,CHAMPIONSHIP_FINE,COUNT,11
[22:01:22] TUNE,X,RECENTER
[22:01:22] TUNE,X,RECENTERED,ERROR,0
[22:01:22] TUNE,X,PID_TEST,KP,0.085,KI,0.220,KD,0.000,STEP,60.0,MAXRPM,12.0
[22:01:28] TUNE,X,RESULT,MODE,PID,KP,0.085,KI,0.220,KD,0.000,SCORE,243.795
[22:01:28] TUNE,X,RECENTER
[22:01:28] TUNE,X,RECENTERED,ERROR,1
[22:01:28] TUNE,X,PID_TEST,KP,0.115,KI,0.220,KD,0.000,STEP,60.0,MAXRPM,12.0
[22:01:34] TUNE,X,RESULT,MODE,PID,KP,0.115,KI,0.220,KD,0.000,SCORE,155.231
[22:01:34] TUNE,X,RECENTER
[22:01:35] TUNE,X,RECENTERED,ERROR,-1
[22:01:35] TUNE,X,PID_TEST,KP,0.100,KI,0.185,KD,0.000,STEP,60.0,MAXRPM,12.0
[22:01:41] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.185,KD,0.000,SCORE,154.421
[22:01:41] TUNE,X,RECENTER
[22:01:41] TUNE,X,RECENTERED,ERROR,2
[22:01:41] TUNE,X,PID_TEST,KP,0.100,KI,0.255,KD,0.000,STEP,60.0,MAXRPM,12.0
[22:01:47] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.255,KD,0.000,SCORE,188.094
[22:01:47] TUNE,X,RECENTER
[22:01:48] TUNE,X,RECENTERED,ERROR,1
[22:01:48] TUNE,X,PID_TEST,KP,0.100,KI,0.220,KD,0.002,STEP,60.0,MAXRPM,12.0
[22:01:54] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.220,KD,0.002,SCORE,177.634
[22:01:54] TUNE,X,RECENTER
[22:01:54] TUNE,X,RECENTERED,ERROR,4
[22:01:54] TUNE,X,PID_TEST,KP,0.085,KI,0.220,KD,0.007,STEP,60.0,MAXRPM,12.0
[22:02:00] TUNE,X,RESULT,MODE,PID,KP,0.085,KI,0.220,KD,0.007,SCORE,206.944
[22:02:00] TUNE,X,RECENTER
[22:02:00] TUNE,X,RECENTERED,ERROR,4
[22:02:00] TUNE,X,PID_TEST,KP,0.115,KI,0.220,KD,0.007,STEP,60.0,MAXRPM,12.0
[22:02:06] TUNE,X,RESULT,MODE,PID,KP,0.115,KI,0.220,KD,0.007,SCORE,157.935
[22:02:06] TUNE,X,RECENTER
[22:02:07] TUNE,X,RECENTERED,ERROR,3
[22:02:07] TUNE,X,PID_TEST,KP,0.100,KI,0.185,KD,0.007,STEP,60.0,MAXRPM,12.0
[22:02:13] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.185,KD,0.007,SCORE,176.713
[22:02:13] TUNE,X,RECENTER
[22:02:13] TUNE,X,RECENTERED,ERROR,1
[22:02:13] TUNE,X,PID_TEST,KP,0.100,KI,0.255,KD,0.007,STEP,60.0,MAXRPM,12.0
[22:02:19] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.255,KD,0.007,SCORE,159.758
[22:02:19] TUNE,X,RECENTER
[22:02:19] TUNE,X,RECENTERED,ERROR,1
[22:02:19] TUNE,X,PID_TEST,KP,0.100,KI,0.220,KD,0.006,STEP,60.0,MAXRPM,12.0
[22:02:26] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.220,KD,0.006,SCORE,195.736
[22:02:26] TUNE,X,RECENTER
[22:02:26] TUNE,X,RECENTERED,ERROR,1
[22:02:26] TUNE,X,PID_TEST,KP,0.100,KI,0.220,KD,0.009,STEP,60.0,MAXRPM,12.0
[22:02:32] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.220,KD,0.009,SCORE,189.372
[22:02:32] TUNE,X,CHAMPIONSHIP_FINAL,COUNT,4,REPEATS,3
[22:02:32] TUNE,X,RECENTER
[22:02:32] TUNE,X,RECENTERED,ERROR,0
[22:02:32] TUNE,X,PID_TEST,KP,0.100,KI,0.185,KD,0.000,STEP,60.0,MAXRPM,12.0
[22:02:38] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.185,KD,0.000,SCORE,185.814
[22:02:38] TUNE,X,RECENTER
[22:02:39] TUNE,X,RECENTERED,ERROR,0
[22:02:39] TUNE,X,PID_TEST,KP,0.100,KI,0.185,KD,0.000,STEP,60.0,MAXRPM,12.0
[22:02:45] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.185,KD,0.000,SCORE,214.127
[22:02:45] TUNE,X,RECENTER
[22:02:45] TUNE,X,RECENTERED,ERROR,0
[22:02:45] TUNE,X,PID_TEST,KP,0.115,KI,0.220,KD,0.000,STEP,60.0,MAXRPM,12.0
[22:02:51] TUNE,X,RESULT,MODE,PID,KP,0.115,KI,0.220,KD,0.000,SCORE,174.414
[22:02:51] TUNE,X,RECENTER
[22:02:51] TUNE,X,RECENTERED,ERROR,0
[22:02:51] TUNE,X,PID_TEST,KP,0.115,KI,0.220,KD,0.000,STEP,60.0,MAXRPM,12.0
[22:02:58] TUNE,X,RESULT,MODE,PID,KP,0.115,KI,0.220,KD,0.000,SCORE,166.090
[22:02:58] TUNE,X,RECENTER
[22:02:58] TUNE,X,RECENTERED,ERROR,2
[22:02:58] TUNE,X,PID_TEST,KP,0.115,KI,0.220,KD,0.007,STEP,60.0,MAXRPM,12.0
[22:03:04] TUNE,X,RESULT,MODE,PID,KP,0.115,KI,0.220,KD,0.007,SCORE,181.370
[22:03:04] TUNE,X,RECENTER
[22:03:04] TUNE,X,RECENTERED,ERROR,2
[22:03:04] TUNE,X,PID_TEST,KP,0.115,KI,0.220,KD,0.007,STEP,60.0,MAXRPM,12.0
[22:03:10] TUNE,X,RESULT,MODE,PID,KP,0.115,KI,0.220,KD,0.007,SCORE,189.097
[22:03:10] TUNE,X,RECENTER
[22:03:11] TUNE,X,RECENTERED,ERROR,1
[22:03:11] TUNE,X,PID_TEST,KP,0.100,KI,0.255,KD,0.007,STEP,60.0,MAXRPM,12.0
[22:03:17] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.255,KD,0.007,SCORE,168.970
[22:03:17] TUNE,X,RECENTER
[22:03:17] TUNE,X,RECENTERED,ERROR,2
[22:03:17] TUNE,X,PID_TEST,KP,0.100,KI,0.255,KD,0.007,STEP,60.0,MAXRPM,12.0
[22:03:23] TUNE,X,RESULT,MODE,PID,KP,0.100,KI,0.255,KD,0.007,SCORE,160.487
[22:03:23] TUNE,X,RECENTER
[22:03:23] TUNE,X,RECENTERED,ERROR,-1
[22:03:23] TUNE,X,COMPLETE,KP,0.100,KI,0.255,KD,0.007,SCORE,163.456,TESTS,3
