[12:59:02] 日志目录：F:\k230gc\pidtest\host\logs\20260707_125902
[13:00:07] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.080,KD,0.010,SCORE,510.841
[13:00:07] TUNE,X,RECENTER
[13:00:07] TUNE,X,RECENTERED,ERROR,-3
[13:00:07] TUNE,X,PID_TEST,KP,0.160,KI,0.200,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:00:15] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.200,KD,0.003,SCORE,501.679
[13:00:15] TUNE,X,RECENTER
[13:00:15] TUNE,X,RECENTERED,ERROR,0
[13:00:15] TUNE,X,PID_TEST,KP,0.160,KI,0.200,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:00:22] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.200,KD,0.010,SCORE,488.403
[13:00:22] TUNE,X,RECENTER
[13:00:22] TUNE,X,RECENTERED,ERROR,1
[13:00:22] TUNE,X,PID_TEST,KP,0.160,KI,0.320,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:00:30] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.320,KD,0.003,SCORE,460.433
[13:00:30] TUNE,X,RECENTER
[13:00:30] TUNE,X,RECENTERED,ERROR,2
[13:00:30] TUNE,X,PID_TEST,KP,0.160,KI,0.320,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:00:38] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.320,KD,0.010,SCORE,484.213
[13:00:38] TUNE,X,RECENTER
[13:00:38] TUNE,X,RECENTERED,ERROR,-3
[13:00:38] TUNE,X,PID_TEST,KP,0.220,KI,0.080,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:00:45] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.080,KD,0.003,SCORE,522.607
[13:00:45] TUNE,X,RECENTER
[13:00:46] TUNE,X,RECENTERED,ERROR,3
[13:00:46] TUNE,X,PID_TEST,KP,0.220,KI,0.080,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:00:53] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.080,KD,0.010,SCORE,467.236
[13:00:53] TUNE,X,RECENTER
[13:00:53] TUNE,X,RECENTERED,ERROR,3
[13:00:53] TUNE,X,PID_TEST,KP,0.220,KI,0.200,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:01:01] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.200,KD,0.003,SCORE,460.656
[13:01:01] TUNE,X,RECENTER
[13:01:01] TUNE,X,RECENTERED,ERROR,0
[13:01:01] TUNE,X,PID_TEST,KP,0.220,KI,0.200,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:01:08] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.200,KD,0.010,SCORE,491.400
[13:01:08] TUNE,X,RECENTER
[13:01:09] TUNE,X,RECENTERED,ERROR,2
[13:01:09] TUNE,X,PID_TEST,KP,0.220,KI,0.320,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:01:16] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.320,KD,0.003,SCORE,449.158
[13:01:16] TUNE,X,RECENTER
[13:01:16] TUNE,X,RECENTERED,ERROR,1
[13:01:16] TUNE,X,PID_TEST,KP,0.220,KI,0.320,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:01:24] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.320,KD,0.010,SCORE,402.710
[13:01:24] TUNE,X,RECENTER
[13:01:24] TUNE,X,RECENTERED,ERROR,0
[13:01:24] TUNE,X,PID_TEST,KP,0.280,KI,0.080,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:01:31] TUNE,X,RESULT,MODE,PID,KP,0.280,KI,0.080,KD,0.003,SCORE,483.591
[13:01:32] TUNE,X,RECENTER
[13:01:32] TUNE,X,RECENTERED,ERROR,2
[13:01:32] TUNE,X,PID_TEST,KP,0.280,KI,0.080,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:01:39] TUNE,X,RESULT,MODE,PID,KP,0.280,KI,0.080,KD,0.010,SCORE,486.997
[13:01:39] TUNE,X,RECENTER
[13:01:39] TUNE,X,RECENTERED,ERROR,2
[13:01:39] TUNE,X,PID_TEST,KP,0.280,KI,0.200,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:01:47] TUNE,X,RESULT,MODE,PID,KP,0.280,KI,0.200,KD,0.003,SCORE,496.283
[13:01:47] TUNE,X,RECENTER
[13:01:47] TUNE,X,RECENTERED,ERROR,-1
[13:01:47] TUNE,X,PID_TEST,KP,0.280,KI,0.200,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:01:54] TUNE,X,RESULT,MODE,PID,KP,0.280,KI,0.200,KD,0.010,SCORE,431.499
[13:01:54] TUNE,X,RECENTER
[13:01:55] TUNE,X,RECENTERED,ERROR,1
[13:01:55] TUNE,X,PID_TEST,KP,0.280,KI,0.320,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:02:02] TUNE,X,RESULT,MODE,PID,KP,0.280,KI,0.320,KD,0.003,SCORE,474.599
[13:02:02] TUNE,X,RECENTER
[13:02:02] TUNE,X,RECENTERED,ERROR,0
[13:02:02] TUNE,X,PID_TEST,KP,0.280,KI,0.320,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:02:10] TUNE,X,RESULT,MODE,PID,KP,0.280,KI,0.320,KD,0.010,SCORE,527.748
[13:02:10] TUNE,X,RECENTER
[13:02:10] TUNE,X,RECENTERED,ERROR,1
[13:02:10] TUNE,X,PID_TEST,KP,0.340,KI,0.080,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:02:17] TUNE,X,RESULT,MODE,PID,KP,0.340,KI,0.080,KD,0.003,SCORE,535.469
[13:02:17] TUNE,X,RECENTER
[13:02:18] TUNE,X,RECENTERED,ERROR,0
[13:02:18] TUNE,X,PID_TEST,KP,0.340,KI,0.080,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:02:25] TUNE,X,RESULT,MODE,PID,KP,0.340,KI,0.080,KD,0.010,SCORE,551.839
[13:02:25] TUNE,X,RECENTER
[13:02:25] TUNE,X,RECENTERED,ERROR,-2
[13:02:25] TUNE,X,PID_TEST,KP,0.340,KI,0.200,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:02:33] TUNE,X,RESULT,MODE,PID,KP,0.340,KI,0.200,KD,0.003,SCORE,548.592
[13:02:33] TUNE,X,RECENTER
[13:02:33] TUNE,X,RECENTERED,ERROR,3
[13:02:33] TUNE,X,PID_TEST,KP,0.340,KI,0.200,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:02:40] TUNE,X,RESULT,MODE,PID,KP,0.340,KI,0.200,KD,0.010,SCORE,591.028
[13:02:40] TUNE,X,RECENTER
[13:02:41] TUNE,X,RECENTERED,ERROR,2
[13:02:41] TUNE,X,PID_TEST,KP,0.340,KI,0.320,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:02:48] TUNE,X,RESULT,MODE,PID,KP,0.340,KI,0.320,KD,0.003,SCORE,537.530
[13:02:48] TUNE,X,RECENTER
[13:02:48] TUNE,X,RECENTERED,ERROR,2
[13:02:48] TUNE,X,PID_TEST,KP,0.340,KI,0.320,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:02:56] TUNE,X,RESULT,MODE,PID,KP,0.340,KI,0.320,KD,0.010,SCORE,475.916
[13:02:56] TUNE,X,CHAMPIONSHIP_QUARTERFINAL,COUNT,8
[13:02:56] TUNE,X,RECENTER
[13:02:56] TUNE,X,RECENTERED,ERROR,3
[13:02:56] TUNE,X,PID_TEST,KP,0.220,KI,0.320,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:03:04] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.320,KD,0.010,SCORE,371.453
[13:03:04] TUNE,X,RECENTER
[13:03:04] TUNE,X,RECENTERED,ERROR,2
[13:03:04] TUNE,X,PID_TEST,KP,0.280,KI,0.200,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:03:11] TUNE,X,RESULT,MODE,PID,KP,0.280,KI,0.200,KD,0.010,SCORE,497.133
[13:03:11] TUNE,X,RECENTER
[13:03:11] TUNE,X,RECENTERED,ERROR,3
[13:03:11] TUNE,X,PID_TEST,KP,0.220,KI,0.320,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:03:19] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.320,KD,0.003,SCORE,457.385
[13:03:19] TUNE,X,RECENTER
[13:03:19] TUNE,X,RECENTERED,ERROR,-2
[13:03:19] TUNE,X,PID_TEST,KP,0.160,KI,0.320,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:03:26] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.320,KD,0.003,SCORE,425.975
[13:03:26] TUNE,X,RECENTER
[13:03:26] TUNE,X,RECENTERED,ERROR,2
[13:03:26] TUNE,X,PID_TEST,KP,0.220,KI,0.200,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:03:34] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.200,KD,0.003,SCORE,420.349
[13:03:34] TUNE,X,RECENTER
[13:03:34] TUNE,X,RECENTERED,ERROR,2
[13:03:34] TUNE,X,PID_TEST,KP,0.220,KI,0.080,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:03:42] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.080,KD,0.010,SCORE,482.788
[13:03:42] TUNE,X,RECENTER
[13:03:42] TUNE,X,RECENTERED,ERROR,-2
[13:03:42] TUNE,X,PID_TEST,KP,0.280,KI,0.320,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:03:49] TUNE,X,RESULT,MODE,PID,KP,0.280,KI,0.320,KD,0.003,SCORE,465.535
[13:03:50] TUNE,X,RECENTER
[13:03:50] TUNE,X,RECENTERED,ERROR,2
[13:03:50] TUNE,X,PID_TEST,KP,0.340,KI,0.320,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:03:57] TUNE,X,RESULT,MODE,PID,KP,0.340,KI,0.320,KD,0.010,SCORE,530.373
[13:03:57] TUNE,X,CHAMPIONSHIP_LOCAL,COUNT,18
[13:03:57] TUNE,X,RECENTER
[13:03:57] TUNE,X,RECENTERED,ERROR,0
[13:03:57] TUNE,X,PID_TEST,KP,0.180,KI,0.320,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:04:05] TUNE,X,RESULT,MODE,PID,KP,0.180,KI,0.320,KD,0.010,SCORE,450.887
[13:04:05] TUNE,X,RECENTER
[13:04:05] TUNE,X,RECENTERED,ERROR,-2
[13:04:05] TUNE,X,PID_TEST,KP,0.260,KI,0.320,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:04:13] TUNE,X,RESULT,MODE,PID,KP,0.260,KI,0.320,KD,0.010,SCORE,404.023
[13:04:13] TUNE,X,RECENTER
[13:04:13] TUNE,X,RECENTERED,ERROR,-2
[13:04:13] TUNE,X,PID_TEST,KP,0.220,KI,0.240,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:04:20] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.240,KD,0.010,SCORE,437.636
[13:04:20] TUNE,X,RECENTER
[13:04:20] TUNE,X,RECENTERED,ERROR,-1
[13:04:20] TUNE,X,PID_TEST,KP,0.220,KI,0.400,KD,0.010,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:04:28] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.400,KD,0.010,SCORE,443.744
[13:04:28] TUNE,X,RECENTER
[13:04:28] TUNE,X,RECENTERED,ERROR,2
[13:04:28] TUNE,X,PID_TEST,KP,0.220,KI,0.320,KD,0.006,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:04:35] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.320,KD,0.006,SCORE,407.199
[13:04:35] TUNE,X,RECENTER
[13:04:35] TUNE,X,RECENTERED,ERROR,-3
[13:04:35] TUNE,X,PID_TEST,KP,0.220,KI,0.320,KD,0.014,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:04:43] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.320,KD,0.014,SCORE,400.320
[13:04:43] TUNE,X,RECENTER
[13:04:43] TUNE,X,RECENTERED,ERROR,0
[13:04:43] TUNE,X,PID_TEST,KP,0.180,KI,0.200,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:04:51] TUNE,X,RESULT,MODE,PID,KP,0.180,KI,0.200,KD,0.003,SCORE,421.543
[13:04:51] TUNE,X,RECENTER
[13:04:51] TUNE,X,RECENTERED,ERROR,-3
[13:04:51] TUNE,X,PID_TEST,KP,0.260,KI,0.200,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:04:58] TUNE,X,RESULT,MODE,PID,KP,0.260,KI,0.200,KD,0.003,SCORE,451.321
[13:04:58] TUNE,X,RECENTER
[13:04:58] TUNE,X,RECENTERED,ERROR,2
[13:04:58] TUNE,X,PID_TEST,KP,0.220,KI,0.120,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:05:06] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.120,KD,0.003,SCORE,451.434
[13:05:06] TUNE,X,RECENTER
[13:05:06] TUNE,X,RECENTERED,ERROR,1
[13:05:06] TUNE,X,PID_TEST,KP,0.220,KI,0.280,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:05:14] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.280,KD,0.003,SCORE,431.658
[13:05:14] TUNE,X,RECENTER
[13:05:14] TUNE,X,RECENTERED,ERROR,-2
[13:05:14] TUNE,X,PID_TEST,KP,0.220,KI,0.200,KD,0.000,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:05:21] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.200,KD,0.000,SCORE,418.424
[13:05:21] TUNE,X,RECENTER
[13:05:21] TUNE,X,RECENTERED,ERROR,-2
[13:05:21] TUNE,X,PID_TEST,KP,0.220,KI,0.200,KD,0.007,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:05:29] TUNE,X,RESULT,MODE,PID,KP,0.220,KI,0.200,KD,0.007,SCORE,407.616
[13:05:29] TUNE,X,RECENTER
[13:05:29] TUNE,X,RECENTERED,ERROR,2
[13:05:29] TUNE,X,PID_TEST,KP,0.120,KI,0.320,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:05:36] TUNE,X,RESULT,MODE,PID,KP,0.120,KI,0.320,KD,0.003,SCORE,391.415
[13:05:36] TUNE,X,RECENTER
[13:05:37] TUNE,X,RECENTERED,ERROR,-3
[13:05:37] TUNE,X,PID_TEST,KP,0.200,KI,0.320,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:05:44] TUNE,X,RESULT,MODE,PID,KP,0.200,KI,0.320,KD,0.003,SCORE,396.140
[13:05:44] TUNE,X,RECENTER
[13:05:44] TUNE,X,RECENTERED,ERROR,1
[13:05:44] TUNE,X,PID_TEST,KP,0.160,KI,0.240,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:05:52] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.240,KD,0.003,SCORE,399.484
[13:05:52] TUNE,X,RECENTER
[13:05:52] TUNE,X,RECENTERED,ERROR,-3
[13:05:52] TUNE,X,PID_TEST,KP,0.160,KI,0.400,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:05:59] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.400,KD,0.003,SCORE,352.473
[13:05:59] TUNE,X,RECENTER
[13:06:00] TUNE,X,RECENTERED,ERROR,1
[13:06:00] TUNE,X,PID_TEST,KP,0.160,KI,0.320,KD,0.000,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:06:07] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.320,KD,0.000,SCORE,361.382
[13:06:07] TUNE,X,RECENTER
[13:06:07] TUNE,X,RECENTERED,ERROR,-3
[13:06:07] TUNE,X,PID_TEST,KP,0.160,KI,0.320,KD,0.007,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:06:15] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.320,KD,0.007,SCORE,439.649
[13:06:15] TUNE,X,CHAMPIONSHIP_SEMIFINAL,COUNT,6
[13:06:15] TUNE,X,RECENTER
[13:06:15] TUNE,X,RECENTERED,ERROR,-1
[13:06:15] TUNE,X,PID_TEST,KP,0.160,KI,0.400,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:06:16] 610,-1.60,0.00,42
[13:06:22] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.400,KD,0.003,SCORE,404.668
[13:06:22] TUNE,X,RECENTER
[13:06:22] TUNE,X,RECENTERED,ERROR,1
[13:06:22] TUNE,X,PID_TEST,KP,0.160,KI,0.320,KD,0.000,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:06:30] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.320,KD,0.000,SCORE,371.331
[13:06:30] TUNE,X,RECENTER
[13:06:30] TUNE,X,RECENTERED,ERROR,1
[13:06:30] TUNE,X,PID_TEST,KP,0.120,KI,0.320,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:06:37] TUNE,X,RESULT,MODE,PID,KP,0.120,KI,0.320,KD,0.003,SCORE,399.794
[13:06:37] TUNE,X,RECENTER
[13:06:38] TUNE,X,RECENTERED,ERROR,-1
[13:06:38] TUNE,X,PID_TEST,KP,0.200,KI,0.320,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:06:45] TUNE,X,RESULT,MODE,PID,KP,0.200,KI,0.320,KD,0.003,SCORE,394.383
[13:06:45] TUNE,X,RECENTER
[13:06:45] TUNE,X,RECENTERED,ERROR,-2
[13:06:45] TUNE,X,PID_TEST,KP,0.160,KI,0.240,KD,0.003,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:06:53] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.240,KD,0.003,SCORE,391.800
[13:06:53] TUNE,X,CHAMPIONSHIP_FINE,COUNT,11
[13:06:53] TUNE,X,RECENTER
[13:06:53] TUNE,X,RECENTERED,ERROR,0
[13:06:53] TUNE,X,PID_TEST,KP,0.145,KI,0.320,KD,0.000,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:07:00] TUNE,X,RESULT,MODE,PID,KP,0.145,KI,0.320,KD,0.000,SCORE,353.433
[13:07:00] TUNE,X,RECENTER
[13:07:00] TUNE,X,RECENTERED,ERROR,1
[13:07:00] TUNE,X,PID_TEST,KP,0.175,KI,0.320,KD,0.000,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:07:08] TUNE,X,RESULT,MODE,PID,KP,0.175,KI,0.320,KD,0.000,SCORE,391.819
[13:07:08] TUNE,X,RECENTER
[13:07:08] TUNE,X,RECENTERED,ERROR,-1
[13:07:08] TUNE,X,PID_TEST,KP,0.160,KI,0.285,KD,0.000,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:07:15] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.285,KD,0.000,SCORE,374.384
[13:07:15] TUNE,X,RECENTER
[13:07:15] TUNE,X,RECENTERED,ERROR,0
[13:07:15] TUNE,X,PID_TEST,KP,0.160,KI,0.355,KD,0.000,STEP,60.0,MAXRPM,12.0,FFG,0.032,FFMAX,4.0,ILIM,12.0,LISCALE,0.15
[13:07:23] TUNE,X,RESULT,MODE,PID,KP,0.160,KI,0.355,KD,0.000,SCORE,372.585
[13:07:23] TUNE,X,RECENTER
[13:07:23] TUNE,X,RECENTERED,ERROR,1
